,xpsp0,xpsp1,xpsp2,win7sp0,win7sp1
NtWaitForMultipleObjects,0x0058,0x0058,0x0058,0x0058,0x0058
NtWaitForMultipleObjects32,0x0017,0x0017,0x0017,0x0017,0x0017
NtWaitForSingleObject,0x0001,0x0001,0x0001,0x0001,0x0001
NtWaitForWnfNotifications,,,,,
NtWaitForWorkViaWorkerFactory,,,,0x018d,0x018d
NtWaitHighEventPair,0x0126,0x0126,0x0126,0x018e,0x018e
NtWaitLowEventPair,0x0127,0x0127,0x0127,0x018f,0x018f
NtWorkerFactoryWorkerReady,,,,0x0190,0x0190
NtWriteFile,0x0005,0x0005,0x0005,0x0005,0x0005
NtWriteFileGather,0x0018,0x0018,0x0018,0x0018,0x0018
NtWriteRequestData,0x0054,0x0054,0x0054,0x0054,0x0054
NtWriteVirtualMemory,0x0037,0x0037,0x0037,0x0037,0x0037
NtYieldExecution,0x0043,0x0043,0x0043,0x0043,0x0043
ShimExceptionHandler,0x00d9,0x00d9,0x00d9,,
xHalAllocatePmcCounterSet,,,,,
xHalGetInterruptTranslator,,,,0x008d,0x008d
xHalPostMicrocodeUpdate,,,,,
xKdReleaseIntegratedDeviceForDebugging,,,,,
xKdSetupPciDeviceForDebugging,0x0105,0x0105,0x0105 ,0x0165,0x0165
