AhcpCdbEntryComputeChecksum,,,,, , 
CcTestControl,,,,, , 
FsRtlSyncVolumes,,,,, , 
NtCreateJobSet,0x0028,0x0028,0x0028,0x0028,0x0045,0x0045
NtCreateKey,0x0029,0x0029,0x0029,0x0029,0x0046,0x0046
NtCreateKeyTransacted,,,,,0x0048,0x0048
NtCreateKeyedEvent,0x0117,0x0117,0x0117,0x0117,0x0047,0x0047
NtCreateLowBoxToken,,,,, , 
NtCreateMailslotFile,0x002a,0x002a,0x002a,0x002a,0x0049,0x0049
NtCreateMutant,0x002b,0x002b,0x002b,0x002b,0x004a,0x004a
NtCreateNamedPipeFile,0x002c,0x002c,0x002c,0x002c,0x004b,0x004b
NtCreatePagingFile,0x002d,0x002d,0x002d,0x002d,0x004c,0x004c
NtCreatePort,0x002e,0x002e,0x002e,0x002e,0x004d,0x004d
NtCreatePrivateNamespace,,,,,0x004e,0x004e
NtCreateProcess,0x002f,0x002f,0x002f,0x002f,0x004f,0x004f
NtCreateProcessEx,0x0030,0x0030,0x0030,0x0030,0x0050,0x0050
NtCreateProfile,0x0031,0x0031,0x0031,0x0031,0x0051,0x0051
NtCreateProfileEx,,,,,0x0052,0x0052
NtCreateResourceManager,,,,,0x0053,0x0053
NtCreateSection,0x0032,0x0032,0x0032,0x0032,0x0054,0x0054
NtCreateSemaphore,0x0033,0x0033,0x0033,0x0033,0x0055,0x0055
NtCreateSymbolicLinkObject,0x0034,0x0034,0x0034,0x0034,0x0056,0x0056
NtCreateThread,0x0035,0x0035,0x0035,0x0035,0x0057,0x0057
NtCreateThreadEx,,,,,0x0058,0x0058
NtCreateTimer,0x0036,0x0036,0x0036,0x0036,0x0059,0x0059
NtCreateToken,0x0037,0x0037,0x0037,0x0037,0x005a,0x005a
NtCreateTokenEx,,,,, , 
NtCreateTransaction,,,,,0x005b,0x005b
NtCreateTransactionManager,,,,,0x005c,0x005c
NtCreateUserProcess,,,,,0x005d,0x005d
NtCreateWaitCompletionPacket,,,,, , 
NtCreateWaitablePort,0x0038,0x0038,0x0038,0x0038,0x005e,0x005e
NtCreateWinStation,,,,, , 
NtCreateWnfStateName,,,,, , 
NtCreateWorkerFactory,,,,,0x005f,0x005f
NtDebugActiveProcess,0x0039,0x0039,0x0039,0x0039,0x0060,0x0060
NtDebugContinue,0x003a,0x003a,0x003a,0x003a,0x0061,0x0061
NtDelayExecution,0x003b,0x003b,0x003b,0x003b,0x0062,0x0062
NtDeleteAtom,0x003c,0x003c,0x003c,0x003c,0x0063,0x0063
NtDeleteBootEntry,0x003d,0x003d,0x003d,,0x0064,0x0064
NtDeleteDriverEntry,,,,,0x0065,0x0065
NtDeleteFile,0x003e,0x003e,0x003e,0x003e,0x0066,0x0066
NtDeleteKey,0x003f,0x003f,0x003f,0x003f,0x0067,0x0067
NtDeleteObjectAuditAlarm,0x0040,0x0040,0x0040,0x0040,0x0068,0x0068
NtDeletePrivateNamespace,,,,,0x0069,0x0069
NtDeleteValueKey,0x0041,0x0041,0x0041,0x0041,0x006a,0x006a
NtDeleteWnfStateData,,,,, , 
